Date    pres[hPa]
2017-01-01T00:00    1021.8 
2017-01-01T01:00    1021.7
2017-01-01T02:00    1021.8
2017-01-01T03:00    1021.7
2017-01-01T04:00    1021.6
2017-01-01T05:00    1021.7
2017-01-01T06:00    1021.8
2017-01-01T07:00    1022.4
2017-01-01T08:00    1022.9
2017-01-01T09:00    1023.4
2017-01-01T10:00    1023.4
2017-01-01T11:00    1022.7
2017-01-01T12:00    1021.7
2017-01-01T13:00    1021.0
2017-01-01T14:00    1020.5
2017-01-01T15:00    1021.1
2017-01-01T16:00    1021.7
2017-01-01T17:00    1022.2
2017-01-01T18:00    1022.5
2017-01-01T19:00    1022.9
2017-01-01T20:00    1022.9
2017-01-01T21:00    1022.6
2017-01-01T22:00    1022.3
2017-01-01T23:00    1022.3
2017-01-02T00:00    1021.8
2017-01-02T01:00    1021.5
2017-01-02T02:00    1020.8
2017-01-02T03:00    1020.2
2017-01-02T04:00    1020.1
2017-01-02T05:00    1020.1
2017-01-02T06:00    1020.1
2017-01-02T07:00    1019.4
2017-01-02T08:00    1020.1
2017-01-02T09:00    1019.8
2017-01-02T10:00    1019.0
2017-01-02T11:00    1017.5
2017-01-02T12:00    1016.1
2017-01-02T13:00    1015.2
2017-01-02T14:00    1014.3
2017-01-02T15:00    1013.8
2017-01-02T16:00    1013.6
2017-01-02T17:00    1013.9
2017-01-02T18:00    1013.7
2017-01-02T19:00    1013.7
2017-01-02T20:00    1013.5
2017-01-02T21:00    1012.7
2017-01-02T22:00    1012.3
2017-01-02T23:00    1012.1
2017-01-03T00:00    1011.7
2017-01-03T01:00    1011.5
2017-01-03T02:00    1011.5
2017-01-03T03:00    1011.3
2017-01-03T04:00    1011.2
2017-01-03T05:00    1011.2
2017-01-03T06:00    1011.8
2017-01-03T07:00    1013.0
2017-01-03T08:00    1013.6
2017-01-03T09:00    1014.4
2017-01-03T10:00    1014.6
2017-01-03T11:00    1013.7
2017-01-03T12:00    1012.7
2017-01-03T13:00    1012.3
2017-01-03T14:00    1012.8
2017-01-03T15:00    1013.2
2017-01-03T16:00    1014.0
2017-01-03T17:00    1014.5
2017-01-03T18:00    1015.4
2017-01-03T19:00    1016.0
2017-01-03T20:00    1016.5
2017-01-03T21:00    1016.8
2017-01-03T22:00    1016.8
2017-01-03T23:00    1016.8
2017-01-04T00:00    1016.6
2017-01-04T01:00    1016.6
2017-01-04T02:00    1016.3
2017-01-04T03:00    1016.0
2017-01-04T04:00    1015.5
2017-01-04T05:00    1015.3
2017-01-04T06:00    1015.1
2017-01-04T07:00    1014.7
2017-01-04T08:00    1014.7
2017-01-04T09:00    1014.6
2017-01-04T10:00    1013.8
2017-01-04T11:00    1011.9
2017-01-04T12:00    1010.6
2017-01-04T13:00    1009.7
2017-01-04T14:00    1009.8
2017-01-04T15:00    1010.2
2017-01-04T16:00    1010.6
2017-01-04T17:00    1011.6
2017-01-04T18:00    1012.5
2017-01-04T19:00    1013.1
2017-01-04T20:00    1013.5
2017-01-04T21:00    1013.4
2017-01-04T22:00    1013.8
2017-01-04T23:00    1014.1
2017-01-05T00:00    1013.9
